Subject,Condition,Order,Start,k,Trial,x,Response,Reversal,RT
S54,simple,1,lejos,1,5,140,0,1,1.44918840499849
S54,simple,1,lejos,1,6,160,1,2,2.92217602099845
S54,simple,1,lejos,1,7,140,1,0,2.7365368360006
S54,simple,1,lejos,1,8,130,0,3,2.51347550399987
S54,simple,1,lejos,1,9,140,1,4,1.03154980599902
S54,simple,1,lejos,1,10,130,1,0,2.49058098799833
S54,simple,1,lejos,1,11,120,0,5,0.906499016999078
S54,simple,1,lejos,1,12,130,0,0,0.649709239000003
S54,simple,1,lejos,1,13,140,0,0,2.48008701300023
S54,simple,1,lejos,1,14,150,1,6,1.74939682300101
S54,simple,1,lejos,1,15,140,1,0,1.35196332099986
S54,simple,1,lejos,1,16,130,0,7,1.24074396299875
S54,simple,1,lejos,1,17,140,0,0,2.82960477400047
S54,simple,1,lejos,1,18,150,1,8,2.06773821000024
S54,simple,1,lejos,1,19,140,1,0,1.99445357900004
S54,simple,1,lejos,1,20,130,1,0,2.79962021500069
S54,simple,1,lejos,1,21,120,0,9,0.550021394999931
S54,simple,1,lejos,1,22,130,0,0,1.84331648599982
S54,simple,1,lejos,1,23,140,0,0,2.59623157500027
S54,simple,1,lejos,1,24,150,1,10,0.952713945998767
S54,simple,1,lejos,1,25,140,1,0,2.68506332199831
S54,simple,1,lejos,1,26,130,1,0,2.21272389499973
S54,simple,1,lejos,1,27,120,0,11,1.02609360899987
S54,simple,1,lejos,1,28,130,0,0,1.53392198399888
S54,simple,1,lejos,1,29,140,1,12,1.3883972170006
S54,simple,2,lejos,1,1,220,1,0,2.22747172599884
S54,simple,2,lejos,1,2,200,1,0,1.15440033400046
S54,simple,2,lejos,1,3,180,1,0,2.4090500809998
S54,simple,2,lejos,1,4,160,1,0,1.31715373900079
S54,simple,2,lejos,1,5,140,0,1,0.856953397000325
S54,simple,2,lejos,1,6,160,1,2,1.86806966200129
S54,simple,2,lejos,1,7,140,0,3,1.34803839500091
S54,simple,2,lejos,1,8,150,1,4,1.92068670099979
S54,simple,2,lejos,1,9,140,0,5,1.80067094200058
S54,simple,2,lejos,1,10,150,1,6,2.40259004099971
S54,simple,2,lejos,1,11,140,0,7,2.03962720399977
S54,simple,2,lejos,1,12,150,1,8,1.76742070700129
S54,simple,2,lejos,1,13,140,0,9,2.79811374699966
S54,simple,2,lejos,1,14,150,1,10,2.79638778200024
S54,simple,2,lejos,1,15,140,0,11,2.38390794500083
S54,simple,2,lejos,1,16,150,1,12,1.91056946500066
S54,simple,3,cerca,1,1,20,0,0,0.795349256999543
S54,simple,3,cerca,1,2,40,0,0,1.03591220499948
S54,simple,3,cerca,1,3,60,0,0,0.0709153829993738
S54,simple,3,cerca,1,4,80,0,0,1.01097725699947
S54,simple,3,cerca,1,5,100,0,0,1.28453410499969
S54,simple,3,cerca,1,6,120,0,0,1.15320301700012
S54,simple,3,cerca,1,7,140,1,1,1.30471685200064
S54,simple,3,cerca,1,8,120,0,2,0.996339225999691
S54,simple,3,cerca,1,9,140,1,3,1.51764414699937
S54,simple,3,cerca,1,10,130,0,4,3.02473571200062
S54,simple,3,cerca,1,11,140,1,5,2.40161499299938
