Subject,Target,Distance,Trial,Response,RT
S13,2,52.8795429782462,18,0,0.847751612996944
S13,6,92.1674996131094,19,0,1.22542493500077
S13,8,121.681025776038,20,1,0.869012472998293
S13,10,160.645261030852,21,1,1.06006394200085
S13,2,52.8795429782462,22,0,0.87361057200178
S13,1,46.0219657443318,23,0,0.695443933000206
S13,7,105.901066548623,24,1,0.745884676001879
S13,9,139.812303279409,25,1,0.890719869999884
S13,7,105.901066548623,26,0,1.89686855500258
S13,7,105.901066548623,27,1,1.1267348399997
S13,8,121.681025776038,28,1,0.909322929001064
S13,6,92.1674996131094,29,0,1.36736320799901
S13,6,92.1674996131094,30,0,0.989416909000283
S13,5,80.2149426987335,31,0,0.890253651999956
S13,9,139.812303279409,32,1,0.917662758998631
S13,5,80.2149426987335,33,0,0.800485250998463
S13,3,60.7589445683897,34,0,0.890732077001303
S13,5,80.2149426987335,35,0,0.817877376000979
S13,6,92.1674996131094,36,0,0.948245842999313
S13,3,60.7589445683897,37,0,0.775796744997933
S13,10,160.645261030852,38,1,0.885081121999974
S13,4,69.8124291010485,39,0,0.791220524999517
S13,5,80.2149426987335,40,0,1.01095605600131
S13,8,121.681025776038,41,1,0.818987282000307
S13,7,105.901066548623,42,1,2.3858082600018
S13,5,80.2149426987335,43,0,0.966344549000496
S13,4,69.8124291010485,44,0,0.75870964799833
S13,7,105.901066548623,45,1,1.21237472099892
S13,3,60.7589445683897,46,0,0.76397306799845
S13,3,60.7589445683897,47,0,0.797457886998018
S13,8,121.681025776038,48,1,0.925757635999616
S13,4,69.8124291010485,49,0,1.1607520610014
S13,9,139.812303279409,50,1,0.872847595001076
S13,8,121.681025776038,51,0,1.38575805599976
S13,8,121.681025776038,52,1,2.28456356899915
S13,3,60.7589445683897,53,0,0.940857408997545
S13,7,105.901066548623,54,0,2.76382096299858
S13,4,69.8124291010485,55,0,0.966069679001521
S13,6,92.1674996131094,56,1,2.15193309700044
S13,10,160.645261030852,57,1,1.1815865919998
S13,3,60.7589445683897,58,0,0.770936303000781
S13,6,92.1674996131094,59,1,2.03914453099787
S13,4,69.8124291010485,60,0,0.739352357002645
S13,8,121.681025776038,61,1,1.28193490299964
S13,2,52.8795429782462,62,0,0.734190276998561
S13,4,69.8124291010485,63,0,0.813741410998773
S13,4,69.8124291010485,64,0,1.0561050460019
S13,3,60.7589445683897,65,0,0.942823861998477
S14,3,60.7589445683897,1,0,0.922252898999886
S14,5,80.2149426987335,2,0,1.02338372899976
S14,9,139.812303279409,3,1,1.00364018500022
S14,8,121.681025776038,4,1,2.63787411500016
S14,5,80.2149426987335,5,0,1.01316726300001
S14,2,52.8795429782462,6,0,0.81700140599969
S14,4,69.8124291010485,7,0,0.887341247000222
S14,10,160.645261030852,8,1,1.4812958980001
S14,3,60.7589445683897,9,0,0.85983164199979
S14,4,69.8124291010485,10,0,0.854408773000159
S14,8,121.681025776038,11,1,1.37592601599999
S14,1,46.0219657443318,12,0,0.83256868799981
S14,9,139.812303279409,13,1,1.17085405299986
S14,9,139.812303279409,14,1,1.17441041599977
S14,2,52.8795429782462,15,0,0.905676072000006
S14,6,92.1674996131094,16,1,1.40570059399988
S14,5,80.2149426987335,17,0,1.472544406
S14,4,69.8124291010485,18,1,1.49640475199976
S14,4,69.8124291010485,19,0,1.51306365399978
S14,1,46.0219657443318,20,0,0.850334295000266
S14,3,60.7589445683897,21,0,0.665845440999874
S14,6,92.1674996131094,22,1,1.07230571700029
S14,9,139.812303279409,23,1,1.0084584629999
S14,7,105.901066548623,24,1,1.23052614699964
S14,7,105.901066548623,25,1,1.1768454840003
S14,5,80.2149426987335,26,0,1.05527699100003
S14,7,105.901066548623,27,1,0.877174695999656
S14,10,160.645261030852,28,1,0.928579741000249
S14,6,92.1674996131094,29,1,1.30464631999985
S14,7,105.901066548623,30,1,2.00879304400041
