Subject,Condition,Block,Start,StairId,BranchStart,Trial,Distance,Response,Reversal,RT
S62,dual,2,near,1,near,23,210,0,0,0.719306957999834
S62,dual,2,near,1,near,24,220,0,0,1.22842429299999
S62,dual,2,near,1,near,25,220,0,0,1.53784128300003
S62,dual,2,near,1,near,26,220,0,0,0.769738116000099
S62,dual,2,near,1,near,27,220,1,9,1.75118619700015
S62,dual,2,near,1,near,28,210,1,0,0.721395547999691
S62,dual,2,near,1,near,29,200,1,0,1.1233132819998
S62,dual,2,near,1,near,30,190,0,10,1.94327878900003
S62,dual,2,near,1,near,31,200,1,11,0.68428985699984
S62,dual,2,near,1,near,32,190,1,0,0.775517298000068
S62,dual,2,near,1,near,33,180,1,0,0.802747666999949
S62,dual,2,near,1,near,34,170,0,12,1.66708329700032
S62,dual,2,near,2,far,1,220,1,0,1.92609070800017
S62,dual,2,near,2,far,2,200,1,0,1.09078320699973
S62,dual,2,near,2,far,3,180,1,0,1.57100904900017
S62,dual,2,near,2,far,4,160,1,0,0.912603839999974
S62,dual,2,near,2,far,5,140,0,1,2.83995469199999
S62,dual,2,near,2,far,6,160,1,2,2.49405710700012
S62,dual,2,near,2,far,7,140,0,3,0.731594571999722
S62,dual,2,near,2,far,8,150,0,0,0.774677529999735
S62,dual,2,near,2,far,9,160,0,0,0.687472154999796
S62,dual,2,near,2,far,10,170,1,4,0.901929609000035
S62,dual,2,near,2,far,11,160,1,0,0.695867246000034
S62,dual,2,near,2,far,12,150,0,5,0.943177765999735
S62,dual,2,near,2,far,13,160,0,0,0.778218601999924
S62,dual,2,near,2,far,14,170,0,0,0.760659739999937
S62,dual,2,near,2,far,15,180,0,0,0.754631535000044
S62,dual,2,near,2,far,16,190,1,6,1.22793527400017
S62,dual,2,near,2,far,17,180,0,7,0.644590336999954
S62,dual,2,near,2,far,18,190,0,0,0.670514488000208
S62,dual,2,near,2,far,19,200,1,8,1.14028126999983
S62,dual,2,near,2,far,20,190,1,0,0.771871136999835
S62,dual,2,near,2,far,21,180,1,0,0.735663270000259
S62,dual,2,near,2,far,22,170,0,9,0.91833997699996
S62,dual,2,near,2,far,23,180,0,0,0.900349777999963
S62,dual,2,near,2,far,24,190,0,0,0.671722534999844
S62,dual,2,near,2,far,25,200,0,0,1.0720689169998
S62,dual,2,near,2,far,26,210,0,0,0.907364398000027
S62,dual,2,near,2,far,27,220,1,10,0.715715868000188
S62,dual,2,near,2,far,28,210,1,0,1.06865587900029
S62,dual,2,near,2,far,29,200,1,0,0.753749433999928
S62,dual,2,near,2,far,30,190,0,11,1.54636896300008
S62,dual,2,near,2,far,31,200,1,12,0.802850391999982
S70,dual,2,far,1,far,1,220,1,0,0.677182865001669
S70,dual,2,far,1,far,2,200,1,0,0.524418622997473
S70,dual,2,far,1,far,3,180,1,0,0.42469973200059
S70,dual,2,far,1,far,4,160,1,0,0.487618622995797
S70,dual,2,far,1,far,5,140,1,0,0.596165217997623
S70,dual,2,far,1,far,6,120,1,0,0.347490615997231
S70,dual,2,far,1,far,7,100,1,0,0.515163475996815
S70,dual,2,far,1,far,8,80,0,1,0.479029544003424
S70,dual,2,far,1,far,9,100,0,0,0.434723438003857
S70,dual,2,far,1,far,10,120,1,2,0.564201215005596
